iso3,year,month,pop,ACLED_conflict_related_deaths,ACLED_protests,ACLED_strategic_developments,ACLED_violence_against_civilians,ACLED_battles,ACLED_explosions_remote_violence,ACLED_riots,ACLED_events,ACLED_protests_peaceful_protest,ACLED_strategic_developments_change_to_group_activity,ACLED_strategic_developments_arrests,ACLED_protests_protest_with_intervention,ACLED_violence_against_civilians_attack,ACLED_battles_armed_clash,ACLED_battles_government_regains_territory,ACLED_battles_non_state_actor_overtakes_territory,ACLED_explosions_remote_violence_air_drone_strike,ACLED_explosions_remote_violence_remote_explosive_landmine_ied,ACLED_explosions_remote_violence_shelling_artillery_missile_attack,ACLED_explosions_remote_violence_suicide_bomb,ACLED_riots_mob_violence,ACLED_strategic_developments_disrupted_weapons_use,ACLED_strategic_developments_looting_property_destruction,ACLED_strategic_developments_non_violent_transfer_of_territory,ACLED_violence_against_civilians_abduction_forced_disappearance,ACLED_violence_against_civilians_sexual_violence,ACLED_riots_violent_demonstration,ACLED_strategic_developments_agreement,ACLED_strategic_developments_headquarters_or_base_established,ACLED_protests_excessive_force_against_protesters,ACLED_strategic_developments_other,ACLED_explosions_remote_violence_grenade,ACLED_explosions_remote_violence_chemical_weapon,ACLED_Gang_Events,yearmon,region_code,ACLED_conflict_related_deaths_change,ACLED_events_change,ACLED_BRD_per_100k
COD,1997,5,46029902,1329,8,16,10,15,0,1,45,7,10,0,0,10,4,2,7,0,0,0,0,0,0,2,2,0,0,1,0,1,1,1,0,0,2,May 1997,SSA,12.7720207253886,-0.04255319148936165,2.8872535944134747
CAF,1997,5,3531700,2,2,0,0,2,0,0,3,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May 1997,SSA,-0.7272727272727273,-0.5,0.0566299515813914
NGA,1997,5,116754792,11,0,0,2,2,3,4,15,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,May 1997,SSA,-0.7569060773480663,-0.18918918918918914,0.00942145483844466
SDN,1997,5,25799821,32,2,1,1,10,0,0,12,2,0,0,0,1,1,3,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,May 1997,SSA,-0.959493670886076,-0.6799999999999999,0.12403186828311716
ETH,1997,5,61404539,1,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May 1997,SSA,-0.33333333333333337,-0.6363636363636364,0.0016285441048584373
DZA,1997,5,29579301,64,0,0,4,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May 1997,MNA,-0.8126829268292683,-0.8032786885245902,0.2163675199762158
AGO,1997,5,14660413,69,11,0,6,15,0,0,22,11,0,0,0,5,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,May 1997,SSA,-0.7924812030075188,2.142857142857143,0.4706552264250673
UGA,1997,5,21856046,152,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May 1997,SSA,1.512396694214876,-0.6,0.6954597368618276
COG,1997,5,2887862,1,0,0,0,6,0,0,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,May 1997,SSA,-0.8461538461538461,1,0.0346276934285641
RWA,1997,6,7755238,107,0,0,6,2,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Jun 1997,SSA,-0.17944785276073627,-0.11764705882352944,1.3797126535639526
COG,1997,6,2887862,5,0,3,2,18,0,0,23,0,1,0,0,2,16,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Jun 1997,SSA,0.0714285714285714,3.928571428571428,0.17313846714282052
DZA,1997,6,29579301,123,0,0,5,0,1,0,6,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun 1997,MNA,-0.5482093663911846,-0.6307692307692307,0.41583132745428975
LSO,1997,6,1988130,1,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun 1997,SSA,-0.8,0,0.05029852172644646
EGY,1997,6,68431740,12,1,0,0,4,0,1,5,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Jun 1997,MNA,0.23076923076923084,0.33333333333333326,0.017535722458613505
SDN,1997,6,25799821,887,0,1,1,8,3,1,14,0,0,0,0,1,4,1,3,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,Jun 1997,SSA,0.38941102756892243,-0.5679012345679012,3.438008348972654
MAR,1997,6,27213337,1,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun 1997,MNA,-0.5,1,0.0036746687846477633
BDI,1997,6,6070042,47,0,0,4,6,1,0,13,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,Jun 1997,SSA,-0.8732470334412082,-0.4144144144144144,0.7742944776988363
KEN,1997,6,28101768,1,0,0,1,1,0,3,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,Jun 1997,SSA,-0.9775784753363229,-0.11764705882352944,0.0035584949672917373
AGO,1997,6,14660413,2240,0,0,4,47,0,0,51,0,0,0,0,4,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun 1997,SSA,7.005718370264475,4.1,15.279242133219576
NGA,1997,6,116754792,29,1,0,1,2,0,1,4,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun 1997,SSA,-0.24479166666666663,-0.7752808988764045,0.024838380937717744
ETH,1997,6,61404539,67,0,0,2,3,0,0,5,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun 1997,SSA,49.25,0.15384615384615397,0.1091124550255153
COD,1997,6,46029902,1,2,0,4,3,0,3,10,2,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,Jun 1997,SSA,-0.9980289093298291,-0.7841726618705036,0.0021725008234864374
SOM,1997,6,7824525,39,0,0,5,5,0,0,14,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Jun 1997,SSA,25,8.333333333333334,0.498432812215438
TGO,1997,6,4725030,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun 1997,SSA,NA,NA,0.08465554716054713
UGA,1997,6,21856046,245,0,0,1,11,0,0,12,0,0,0,0,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun 1997,SSA,2.1091370558375635,1.727272727272727,1.12097128638913
CAF,1997,6,3531700,100,1,0,3,4,0,0,8,0,0,0,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jun 1997,SSA,15.666666666666668,0.5238095238095237,2.83149757906957
NER,1997,6,10383969,4,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Jun 1997,SSA,-0.7333333333333334,-0.5,0.03852091623154884
